period,start_station_id,no_trips
201910,3697,3390
201908,485,3390
201911,3680,3387
201911,361,3378
202005,3143,3372
202002,127,3371
201910,296,3369
201912,442,3368
201911,3746,3363
202005,462,3359
202001,380,3355
201912,2003,3354
201909,217,3354
202001,503,3350
201909,146,3340
201910,346,3338
201906,309,3337
202005,217,3337
202003,3256,3335
202001,317,3335
201909,3810,3332
201912,168,3331
202002,494,3330
201909,513,3329
201908,473,3329
202002,3443,3326
201910,309,3324
202002,474,3324
201908,502,3324
202003,459,3322
202001,3233,3320
201907,349,3319
201911,487,3318
202002,3164,3316
202002,3167,3315
201908,259,3314
201910,522,3312
201912,229,3310
202002,545,3309
201907,522,3307
201910,455,3304
202001,167,3304
202002,445,3304
201906,502,3304
201907,500,3301
202002,466,3298
202001,3656,3296
202001,439,3293
201908,3799,3290
201906,217,3287
201909,267,3287
202003,492,3287
201911,174,3286
201911,336,3285
201908,3747,3285
201908,3374,3285
201912,284,3284
201908,3409,3279
201911,3809,3278
201909,411,3277
201912,446,3277
201909,3166,3276
202003,368,3274
201911,254,3273
201908,3235,3273
201912,461,3272
202002,297,3271
201906,473,3268
201907,362,3264
201908,3301,3263
201912,472,3262
201906,280,3262
201911,422,3260
201912,489,3260
202001,476,3259
201906,440,3259
201907,3143,3257
201910,3235,3256
201909,259,3256
201908,174,3255
201909,3171,3253
201908,335,3252
201908,3712,3252
202002,250,3248
201906,455,3247
202001,3799,3246
202003,501,3245
202002,528,3243
201906,296,3243
201908,3697,3242
202003,3002,3242
201907,456,3241
201910,279,3241
201909,3161,3241
201910,355,3240
202001,478,3239
201909,3160,3238
201909,423,3238
201907,3409,3236
201912,3263,3236
201908,3160,3235
201910,454,3235
202005,3167,3234
202001,479,3234
201906,174,3233
201908,349,3231
201906,3173,3231
201906,422,3231
202005,3166,3229
201909,3360,3228
201910,150,3226
201910,72,3224
202003,518,3219
202005,3812,3218
202005,3295,3215
202001,350,3214
201906,3166,3212
201906,150,3211
201912,151,3208
202002,3656,3208
202001,3002,3207
202002,161,3201
201908,423,3200
201906,423,3199
201906,3788,3199
201910,316,3197
202002,462,3196
201906,2000,3194
201908,411,3193
202002,237,3193
201910,3134,3186
201911,311,3186
201907,3175,3186
202005,128,3186
201908,385,3185
202003,284,3185
202002,326,3182
202002,518,3182
202001,529,3181
202005,3164,3179
202005,505,3177
201911,212,3176
201908,3733,3176
201906,3737,3173
201910,495,3172
201910,473,3171
201907,473,3170
201911,3159,3161
202002,482,3159
202005,237,3159
201911,3724,3156
202003,509,3156
201909,3173,3156
201911,257,3155
202005,3320,3151
202002,380,3150
201910,3674,3147
201909,228,3146
201910,3143,3144
201910,3168,3144
202001,307,3142
202002,439,3141
201908,3166,3136
202001,367,3136
202005,445,3133
201911,388,3132
201912,504,3129
202005,284,3127
202001,530,3126
201908,3173,3126
202005,3993,3124
202001,447,3123
202003,507,3122
201906,3680,3121
202003,461,3119
202002,453,3116
201912,507,3114
201908,369,3114
202002,317,3112
202001,438,3110
201907,3733,3108
201909,3699,3107
